page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Irish Wolfhound,Female,09-11-2017 (9 Weeks),No,No,$500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,N/A,10-23-2017 (3 Weeks),Yes,Yes,$2750 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,10-19-2017 (4 Weeks),Yes,No,$1600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,01-01-2018 (Unborn),Yes,No,$1850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,09-05-2017 (10 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Pedigree"
Irish Wolfhound,Male,10-31-2017 (16 Days),Yes,No,$0 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,11-24-2017 (Unborn),Yes,No,$1600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Female,10-07-2017 (5 Weeks),No,No,$900 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Irish Wolfhound,Male,09-05-2017 (10 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Pedigree"
Irish Wolfhound,Male,09-04-2017 (10 Weeks),No,No,$1500 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Irish Wolfhound,Male,09-06-2017 (10 Weeks),No,No,$1500 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Pedigree"
Irish Wolfhound,Female,08-18-2017 (12 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Irish Wolfhound,Female,09-04-2017 (10 Weeks),No,No,$1500 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Irish Wolfhound,Female,07-23-2017 (16 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Irish Wolfhound,Female,08-18-2017 (12 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Irish Wolfhound,Male,07-19-2017 (17 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,07-19-2017 (17 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Female,07-18-2017 (17 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Irish Wolfhound,Male,10-19-2017 (4 Weeks),Yes,No,$1600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,07-16-2017 (4 Months),No,No,$1200 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,07-10-2017 (4 Months),Yes,Yes,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,09-11-2017 (9 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,N/A,10-23-2017 (3 Weeks),Yes,Yes,$2750 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,09-07-2017 (10 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Pedigree"
Irish Wolfhound,Male,10-31-2017 (16 Days),Yes,No,$0 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,08-25-2017 (11 Weeks),Yes,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Irish Wolfhound,Female,09-04-2017 (10 Weeks),No,No,$1500 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Irish Wolfhound,Female,08-18-2017 (12 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Irish Wolfhound,Female,09-11-2017 (9 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Female,08-18-2017 (12 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Irish Wolfhound,Male,09-11-2017 (9 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,N/A,08-25-2017 (11 Weeks),Yes,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Irish Wolfhound,Male,10-31-2017 (16 Days),Yes,No,$0 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,09-05-2017 (10 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Pedigree"
Irish Wolfhound,Female,09-22-2017 (7 Weeks),No,No,$1000 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Irish Wolfhound,Male,06-24-2017 (4 Months),Yes,No,$1850 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Male,10-09-2017 (5 Weeks),No,No,$900 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Irish Wolfhound,Male,07-19-2017 (17 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Female,09-22-2017 (7 Weeks),No,No,$1000 USD Buyer tips,United States,
Irish Wolfhound,Female,09-11-2017 (9 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,N/A,11-15-2017 (1 Day),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Irish Wolfhound,Female,09-11-2017 (9 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Irish Wolfhound,Female,08-18-2017 (12 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Irish Wolfhound,Female,08-04-2017 (14 Weeks),Yes,No,$1650 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
