page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Samoyed,Male,03-31-2017 (7 Months),No,No,$400 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Samoyed,Female,09-05-2017 (10 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Pedigree"
Samoyed,Female,05-14-2010 (7 Years),Yes,No,$500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Samoyed,Female,07-21-2017 (16 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Samoyed,Male,03-01-2016 (20 Months),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Samoyed,Male,09-27-2017 (7 Weeks),Yes,Yes,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Male,06-10-2016 (17 Months),Yes,No,$1100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Samoyed,Female,05-30-2017 (5 Months),No,No,$500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Samoyed,Female,10-19-2017 (4 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Samoyed,Female,05-06-2017 (6 Months),Yes,Yes,$2500 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Female,10-17-2017 (4 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Samoyed,Female,09-30-2017 (6 Weeks),Yes,No,$3200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Samoyed,Female,09-06-2017 (10 Weeks),Yes,Yes,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Samoyed,Male,04-16-2017 (7 Months),Yes,Yes,$1700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Male,09-10-2017 (9 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Samoyed,Male,05-02-2016 (18 Months),Yes,Yes,$3000 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Male,10-19-2017 (4 Weeks),No,No,$2100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Samoyed,Male,08-04-2017 (14 Weeks),Yes,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Samoyed,Female,09-30-2016 (13 Months),Yes,Yes,$2200 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Female,09-26-2016 (13 Months),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Samoyed,Male,08-27-2016 (14 Months),Yes,Yes,$2200 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Female,05-14-2010 (7 Years),Yes,No,$500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Samoyed,Male,04-16-2017 (7 Months),Yes,Yes,$1600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Male,09-01-2017 (10 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Samoyed,Male,10-17-2017 (4 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Samoyed,Male,09-24-2016 (13 Months),Yes,Yes,$1650 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Samoyed,Female,10-25-2017 (3 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Samoyed,Female,05-30-2017 (5 Months),No,No,$500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Samoyed,Female,03-06-2017 (8 Months),No,No,$400 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Samoyed,Female,10-19-2017 (4 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Samoyed,Male,07-08-2017 (4 Months),Yes,Yes,$1900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Samoyed,Male,11-08-2017 (8 Days),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree, Travel crate"
Samoyed,Female,08-18-2017 (12 Weeks),Yes,No,$1300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Samoyed,Male,07-08-2017 (4 Months),Yes,Yes,$1900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Samoyed,Female,10-19-2017 (4 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Samoyed,Male,08-27-2016 (14 Months),Yes,Yes,$2200 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Female,09-18-2016 (13 Months),No,No,$1100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Male,07-27-2017 (16 Weeks),Yes,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Male,07-14-2017 (4 Months),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health certificate, Pedigree"
Samoyed,Female,09-30-2017 (6 Weeks),Yes,No,$900 USD Buyer tips,United States,Registered/registerable
Samoyed,Female,05-06-2017 (6 Months),Yes,Yes,$2500 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Samoyed,Female,08-03-2016 (15 Months),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
